Title,Review
Great product,"awesome phone....I just love this phone.,..... Samsung has put almost everything in the device.... great display.,...v. good brightness....auto & outdoor mode is here....call recording is here,... dual Volte is available at the same time (one can use jio sim in both slots).... finger print doing ok... face unlock also working decently.... secure folder is available.,... battery is last for more than a day.... worth buying....got this in 13 k.READ MORE"
Worth the money,"soo i thought the camrera would be wow but keep your hopes down for that, during calling the voice to other person is not clear otherwise love the display amd battery...READ MORE"
Terrific purchase,"Excellent camera & Display.....have used Honor,Lenovo this one is much better in terms of Signal quality,pictures,battery backup you will feel that if you are ex Lenovo, Honor users.....YES, IF YOU ARE USING MOBILE DATA battery backup will be for 36 hrs....will go till 48hrs all depends on how you use....READ MORE"
Terrific purchase,"Very satisfied with the device, high sensitive touch, very sleek  design and light weight. Very good configuration with best price.I recommend buying this.READ MORE"
Must buy!,I am completely satisfied with this phone. Thanks to Samsung company that they are changing the model as well as prices to compete the other company like Xiomi.  But still there is need to make a lot of improvement now to stay at the top in the Indian markets.READ MORE
Just okay,In this connection  few pointout as under.    1= camera is not workable aa well as your notification.2= battery  time is not proper maintained   as a screen. 3-  value of mony over compression to other same nature type phone .4. screening  work too much.READ MORE
amazing,Love with samsung on8. Firstly thanks to flipcart for home delivery. Such a nice features from Samsung. I'm very happy with Samsung on8 with this price.READ MORE
Good choice,"Alhamdulilah, I got phone on time with doorstep delivery. In this range I'm satisfied, dual volte available mean 2 jio sim in one phone dedicated slots for sims and sd card. Phone is like j8 on back Samsung mentions ""sm j8 ***...."" not on8READ MORE"
Delightful,"I have been using this phone since 3-4 months... The phone works fine... No lagging issues yet... The best part about this phone is the camera... It has really good features... The battery backup of this phone is good enough... Can last upto 2 days after heavy usage. Only thing is the fingerprint sensor takes about half a second to unlock, which is little slow compared other phones... Overall the phone is good. Worth buying a samsung product.READ MORE"
Super!,Best quality best price best choice By and enjoyREAD MORE
Terrific purchase,"good at 12990, working smooth, function attractive, camera very good at this price, dual volte supported h, nice lookREAD MORE"
Excellent,"Excellent phone, display is top notch, performance is good, battery is average. Sound is low. Looks wise great. Fingerprint is fast, faceunlock is decent. It is still working very well. I like this phone.READ MORE"
Worth every penny,"awesome phone... camera is brilliant in day light... decent pics in low light... performance is good.. battery doesn't drain fast.... pip mode for apps, chat over video are some cool features...READ MORE"
Super!,Very very very nice mobile under 13000rsAfter 4days used PROS1. very very very nice camera 2. super amoled display 6inch3. battery backup4. ram 4gb internal 64gb5. Dadicated sim slot6. samsung brand 7. value for moneyCONS. 1. slow charger2. Hd plus display not full hd3. no Video recording stiblization4. processor snapdragon 450 5. back pannel plastic body but looking very niceREAD MORE
Worth every penny,Nice phone I am using it from last 15 days I liked it very much camera is too goodREAD MORE
Just wow!,very good product in price range I like camera quality and screen resolution full display very like but finger sensor so small but ok over all good looking premium mobile devices I recommend to all buyer's buy this phone. and very interesting and important thing of this mobile phone you can use both sim a LTE network no need a change a sim settings 4g to 2g or 3g like you can also use jio LTE data and other telecoms companies LTE data just switch data option sim1 to sim2 no network lost or no...READ MORE
Terrible product,this Mobile only replacement only available           refund not available  Iam not satisfied this product.           not so much betterREAD MORE
Fabulous!,"great product. great camera, best display and good battery life. best phone in 12k range.READ MORE"
Wonderful,"it's a really good phone. Dual camera, slim in design & screen quality is the best part of this phone.I love it's camera. It shows the nature colour not like oppo, vivo beautification.READ MORE"
Good choice,"good enough for in this price who are looking for a durable phoneUpsides-Good display, good cameraDownsides- battery good enough just for a regular day, no compass so really difficult to navigate while using google mapsREAD MORE"
Nice product,I am happy  nice product. I like mobile goodREAD MORE
Great product,Good budget phone... I have bought for 13k during offer.  Good performance and battery back up. Over all satisfy with the stylish look and performance.READ MORE
Must buy!,"super it's amazing. Best display, best camera quality, best sound  must buy .In total it's the best phone on budget.READ MORE"
Worth the money,battery backup 1.5 days in normal use. In heavy use less than 1 days.Good back and front camera display is good. Colour reproduction is good. pixels are clearly visible. Less sharpness than LCD display.  Good brightness and contrast. Overall good if brought in offer period.READ MORE
Wonderful,used this phone for a month and here are the few pros and cons according to my daily usage and i am a student and techie and have used this phone at max conditions                                                                                  pros: good basic performance . descent design . smooth n fast ui . fingerprint scanner n face recognition works very well . good build quality . battery lasts for a day . triple slot  (dedicated slot for sd card)                        cons: no fast ch...READ MORE
Nice product,"Even 1080p isn't good enough these days and Samsung went for 720p for 6 inch display on this one. 1080p+ would have been a better choice in my opinion.Camera is good, battery backup is ok, performance is ok, 64GB and 4GB are good choices. Overall value for money, nothing too impressive.READ MORE"
Terrific purchase,good mobile.. am so happy with the mobile... thankful to flipkart  for delivering the mobile on next day.. courier service awesome.. thanks to Mr Ramesh..he is so punctual and delivering all the products at correct time.READ MORE
Super!,very nice phone and worth for money and also thanks to Flipkart for fast delivery with good packing.READ MORE
Super!,"The brand name is enough to define the product. Great phone in this range by Samsung. No matter who ever is the competitor like Mi, Moto, Oppo, etc. it provides the best class. Being a Samsung user, I never get disappointed with this brand.READ MORE"
Wonderful,Yah its nice smartphone and i like it but cameras  are ok but display and battery is good  if you like samsung than go for it.its value  for moneyREAD MORE
Brilliant,Awesome Mobile handset in this price range. Camera of this phone is Good and 4 GB RAM speed works smarter on this phone.READ MORE
Brilliant,Best camera phone from Samsung. If you are not a avid gamer this is the best mobile .better camera than Mi 6 proREAD MORE
Excellent,Excellent phone cost wise effective and performance wise efficientREAD MORE
Mind-blowing purchase,"The one star I gave is not for the quality of the mobile. It is marvellous. The one star is for the service of Flipkart. More than 3 years, I ve been their customer , but I don't know they will do like this. I ordered this phone on exchange but despite everything is good the delivery boy refused to take back my old phone stating that the Flipkart does not accept their responsibility on exchange . The delivery boy insisted for balance cash instead showing interest to take my old mobile. I woul...READ MORE"
On 8,This mobile is good . Camera is Beautiful and sound. .to .Samsung mobile phone then sound and camera good .. I expect...  13000 price this mobile. Pura Pasha oo shulREAD MORE
Mind-blowing purchase,amazing go 4 it.i bought it in 12999 from flipkart. trust me no cons . u also have samsung a7(2016).which i get in 28000 the only diffrence is fast charging rest things are better in on 8.READ MORE
Good quality product,"Nice phone to use nd good experience of Sumsung mobile through this phone Galaxy On8, I think if this is good other Samsung phones should be awesome for use having many features...READ MORE"
Brilliant,Superfast delivery from Flipkart..Got device before 24hrs after ordering. Great device . good camera quality and display. but for the cost processor should be SD 636 minimum coz its 20k..but in flipkart its at 15k ..all gud just processor needs to be more advanced with the cost.READ MORE
Must buy!,best phone with awesome features loaded in perfect budget amazing camera ........and performancepub g and other games in high graphics without hang....READ MORE
Worth the money,"This phone is good and value for money, however it gets heated up upon prolonged usage like after watching movies, videos for more than an hour. Otherwise no one should doubt the camera quality of this phone. This is far better than substandard chinese mobile brands. Even the battery backup is not bad. It can work for one and a half day after full charge on normal usage. However it would have been ice on cake if the company would have provided the fast charger as it takes longer to get charge...READ MORE"
Good phone,Build quality is good Infinity is good Display also good Camera quality little bit better then J7 series Blue colour classy lookREAD MORE
Classy product,"A suprb product at a cheap price. Excellent camera with interesting features .. its selfie is more bright , natural and clear than other phones . loved it.READ MORE"
Excellent,Good one from Samsung awesome display great performance.I love the camera and this phone is value for money for Samsung lovers ??????READ MORE
Good choice,this phone is very good I am using Samsung camera is super battery backup is very very good totally thank you FlipkartREAD MORE
Brilliant,satisfied to the core. I am really happy with this product. phone is really smooth to use and performace is really great. camera is awesome in this pricw range. Am really happy about it.READ MORE
Simply awesome,amazing purchase. in love with this phone. overall experience is great. 9/10 camera. display 10/10. performance decent. very fluid. no one can beat Samsung's software. its a true smart phone.READ MORE
Best in the market!,Got it for 11691 on big billion sale with xtra 10 percent off on hdfc bd crd. Good for that price. expenaive otherwise. at 15k u can get better mobioe phones with better processor.READ MORE
Simply awesome,Good product. Value for money. And also fast delivery. Very good filpkart. Thank uREAD MORE
Good quality product,overall use of 5days it's good in mid-range Samsung on 8 is way better than other midrange range mobile because of its build over and quality  I don't say u to buy but ur  budget is below 15k then it is a handy optionREAD MORE
Good,"very high price for this phone. people should not buy Samsung phones of price range of 10k to 20k. got this phone for my uncle @ 16k now it's price 10k, price down within 2 months. about performance nothing extraordinary to expect, good battery back up with such a big display fairly went for a day. camera good portrait more working nice, face unlock feature nice. with old processor on paper tried no games. verdict- don't buy!!READ MORE"
Really Nice,"I am using this phone for more than 2 weeks now. This is definitely value for MONEY. Excellent Display , good processor. Consistent performanceREAD MORE"
Classy product,Good phone. great purchase. go for it without second thought. it is manufactured in India. dont go for Redmi or Realme or oppo or honor. Samsung is always better choice.READ MORE
Wonderful,good phone. good in big billion sale. really nice slim and easy to handleREAD MORE
Just wow!,Thank you flipkart for giving this most valuable phone camera quality quality is soo good fast charging i love this phoneREAD MORE
Must buy!,I have been using the on8 for the past few days.The best part is the dual camera which captures images with amazing clarity and depth.The battery life is about a day for average users.Overall a great product which i got for under 12k.Thanks flilpkart for the prompt deliveryREAD MORE
Highly recommended,nice phone in this Range. specially in samsung brand. the camera is good  and battery was little bit low.and display is owsm super amoled which contain beautifully colours of Image and fonts. overall the phone is same as j8  if u think to buy j8 then buy on 8 it's  totally same phones .only names are different. and also u save 2000 rs in this on 8 segment. thanksREAD MORE
Brilliant,"Nice phone , and nice camera. Thank you flipkart for such a nice deal but now it's available 1000 rupees lessREAD MORE"
freaking Phone,"very bad product recommended by flipkarti trusted flipkart and bought product worth 50k in flikart last 2 months and the phone which i got it is heating very quick on the first day itself with out any apps installed. and i was asked to check if temperature goes to 49degress. only then they can consider my requestif the temperature goes to 49degrees  it will hurt the person who is using the phone , there is no sense in this .i need refund for this so that i can purchase another phone f...READ MORE"
Wonderful,very nice product. there is very few differences between oppo f9 pro and samsung galaxy on 8.highly recommend to buy samsung phone. very good budget. camera also too good.only ram and display was differences.my preference is samsung ??READ MORE
Expected a better product,Finger sensors is not working well with in half of month.. Camera is not upto mark.. Performance is quite good.. Better to buy honor or redmiREAD MORE
Good choice,"after using the phone over 01 month, I can say that it's a good value for money phone. performance : 04 GB ram is an advantage, with normal apps it's working finecamera : I will give 04 star for cameralook : the phone has an ultimate look..battery : good battery backup with normal 04g usage it can last upto 24 hoursoverall 4 star and a perfect phone in this budgetREAD MORE"
Fair,The phone has taken more than money . but the  quality of the phone is still better than the camera in the feature.some edit on the camera are added... but still price is very high... and Thank u flipkart phn is true good. ??.. mobile true beautiful and very good quality.READ MORE
Best in the market!,very good and easy to use and cammra/processing/display/ so good battery is also not bad but it's better if 4000 mAh provides by Samsung overall very goodREAD MORE
Good choice,Nice and handy rear camera as usual awesome no lag experience till now super amoled works fine in viewing experience and delivery is lightning fast thanku flipkartREAD MORE
Just okay,samsung good product 15990 4 Ram & 64Gb intarnal storage and camera is very good display very good suprb amoled battery backup good farce didact senser and finger print sencer good & fast work android 8.0 Oreo  latest versionREAD MORE
Worth the money,good mobile at this price if your budget below 15k it is the best mobile.if you compare other mobile you get better processor and performance but this gives the best display and good camera and good battery life and performance ok not bad so definitely worth it.READ MORE
Really Nice,Good phone in this price this is the best phone than others. Thank you flipkart to make easy on EMIREAD MORE
Mind-blowing purchase,Very nice Product .  With a very safe packaging.  It works very smoothly speed and battery backup are good . Specially Camera is excellent. IT'S a total money worth product. Looks Stylish and Handy...READ MORE
Classy product,Superb quality and verry fabullase phone verry well display & camera clearity superb bettry bckup good all function verry fabulase ????????????READ MORE
Decent product,"Good look and good build quality, Good camera,but no light sensor and notification light.Charging time is very poor.Over all good in 15k price.READ MORE"
Terrific,quick delivery I'm happy thanks to flipkart?????? good camera Display is good performance goodREAD MORE
Fabulous!,Great product from samsungLooks premium phone not like Chinese MIBest package of configuration Flipkart offers are great and delivery is also smoothREAD MORE
Awesome,Samsung galaxy no8 very nice podcast and battery is nice  camera and  good quality I love you Samsung galaxy no8READ MORE
Nice product,good phone but battery back up is so so camera is not too good only if ur  Samsung lover then u can buy it other then this price range other good processorREAD MORE
Just okay,Note ON8 = J8 ON series online marketJ series offline marketPros:1. Super Amoled Display just mind blowing2. Dolby Atmos Sound just Rock's3. Great Camera 1.7 f aperture 16+5MP camera4. Selfie Camera is better compared to other mobiles in this range5. Dual sim card + SD card supportCons:1. No fast Charging Support2. Moderate performance as SD450 budget processor3. No Type C Cable in 20184. No led notification light5. Slow Fingerprint Scanner And Facial recognition6. Battery is m...READ MORE
Very Good,Nice phone at this price. But notification LED & tap screen on feature is really missed in it. Display (infinity)is good but at this price you can get notch display in other brands.But overall it's a good product.READ MORE
Fabulous!,"good one by Samsung, nice phone with all good and latest feature in a single mobile. value for money and a must buy.READ MORE"
Best in the market!,Mobile is absolutely super nice performance good product from Samsung i like it.....READ MORE
Excellent,one of the excellent handset in smart phone era with very good battery back up n camera. highly recommended smart phoneREAD MORE
Just wow!,An excellent phone with super performance no hanging ....since Samsung has a brand u will have a good resale when compare to MI phonesREAD MORE
Really Nice,"It's a good phone over all. for all the Samsung lovers, you guys can totally go for this. got a good camera, really nice display. only prob I have is the speaker is towards the side of the phone and not at the bottom, or in the front so it does sound a little weird but it's just a minor thing I noticed. Rest all goodREAD MORE"
Must buy!,"my iphone x very supreb phone all future is very good very fast working osm farfomnce look is very special and big phone,  i am very happy i love it this mobile ,  thank u flipkart & Samsung,READ MORE"
Brilliant,It may seems costlier as compare to other brand But this Samsung Product worth for money. good hand Grip.awesome Processors and Good Camera Quality but don't  expect to get good DSL or BOOKEH effect as Compare to Mi A1.READ MORE
Terrific,samsung on8 is very good for this price   all specification are very good.  i like samsung brand. it is good product.  thank you samsungREAD MORE
Highly recommended,The best midrange phone from Samsung . Everything is best in this phone and there are so many features.  I love Samsung .????????READ MORE
Best in the market!,"A quality product from the makers of Samsung. Very good performance, beautiful rear and front cameras.Simply superb and more value for the money.*The most fascinating fact is that both sims can be Volte as well as the calls can be received at a time. In no other mobiles this facility is available. Samsung is the brand leader and always leader.Thanks to Flipkart as well as to Samsung.READ MORE"
Worth the money,as usual good samsung phone. display should have been better. cheaper phones than this are providing better display PPI.        lack of led notification light is a drawback.READ MORE
Nice,screen cannot play HD videos because resolution is 720×1480..and also there is no auto screen brightness adjustment.. Which I think is present in a 5000rs phone also.. At this price range of 16000 we are getting just basic features. Which I think many Chinese phones are giving good quality phones. Sound quality is average and battery is good one day at single charge with heavy usage..READ MORE
Decent product,I have been using it around 15 days.Pros- display is sharp and crystal bcoz of amoled panel.Speaker is loud and clear.Battery is decent. One day of moderate usage.Cons- processor is not up to mark. If ur a gamer then definitely this is not for u. Lagging. Screen drop. Frame drop.- camera is also not that much good.- hd+ display is not that much good.- sensors are missing. In this price u will get better mobile then this- it takes too much time for charging. U won't get fast charger-...READ MORE
Excellent,i like this phone .  super Battery Backup Great Display.   super phone ...Battery  backup Manimum 2 days.    Super Display.READ MORE
Just okay,"Good camera, good design, good sound,  net speed display built in not present,  always on display - not there  , automatic brightness adjust not available, speed charging not available, double tap to wake not present,  battery not that much excellent,  just ok , caller image full show on the screen not present, amoled display but not like high end phone display. amoled quality low, pixel per inch is low.  very small dots seen while keen observation( not an issue) , theme customization not pre...READ MORE"
Terrific purchase,"As expected, verry quick delivery from Flipkart..!! The performance of the phones is outstanding. Camera works really good. Decent battery backup. Display is amazingly superb. Totally worth itREAD MORE"
Value-for-money,"ProsI am a normal user don't install and play much games. Writing this feedback after using for 2 weeksThe mobile looks very good and handy.Picture display is very goodSound quality is very goodSpeaker is very goodCamera is very good, specially night shots able to capture in very good qualityBattery backup, for my usage almost getting full day. Batter backup for 4G network on and used Youtube while traveling got almost 8 hours. Speed it good ConsShould have been used Snapdragon 63...READ MORE"
Nice product,"The super AMOLED display is great. Camera is better than good, but not great. So overall, a good phone for that price range.READ MORE"
Bad quality,front cam is poor.. back Cam is good .Gaming wise 0/10. battery life is good.. function is basic Samsung features. overall 4/10..screen resolution is ok.not worth mobileREAD MORE
Worth every penny,"Go for it. Amazing phone at this price. Very good battery life, more than 1.5 days with fair multimedia usage of phone. No hanging issue.I bought this product from flipkart at 16990 but now it is available at 14990. Good amoled screen and good speaker.READ MORE"
Best in the market and Value for money.,"after 2 months of usage , I can say is its worth to buy. Camera - 9/10Sound -9/10Picture quality - 9/10Gaming - perfect Gaming. Best part is till date it has never hanged. I am enjoying it.READ MORE"
Pretty good,"fantastic mobile, good camera best battery in low price nice one.READ MORE"
"Worst, Never expect this from Samsung  ","Here is my personal review After 1week of usage 1. Device was not ON at the very first time - OK manageable 2. Dual camera clarity is not good - never expect this from Samsung 3 . Display resolution is too bad , though it has sAmlod display ,the j3 display is so better when comparing with this on8 device -READ MORE"
Simply awesome,"Delighted to bought this mobile from Flipkart at decent budget available from Samsung. I'm not a gamer and using this phone for my official and personal usage. Hence, I mostly use mobile network to connect with & this mobile battery capacity comes with 3500 power gives 24 hours standing to make calls and browsing. I'm charging my mobile once a day. I'm using 4GB variant 64 GB inbuilt memory available memory around 46.8 GB. This phone gives you fast access to your apps. Camera was good and pre...READ MORE"
Highly recommended,"I have purchased Samsung On8 during Oct 2018 Billion Sale. I got this mobile very good price, amazing discount from Flipkart. Thanks to Flipkart. Product is genuine and I liked very much mobile.Battery, Display, Camera, memory all are super.READ MORE"
Super!,Awesome smart phone awesome feature everything awesome mobile the is best mobile phoneREAD MORE
Good quality product,"Good product, I got this product for an affordable price for 0% interest on EMI. Somebody looking for better camera with good display this is the right product.READ MORE"
Best in the market!,very nice phone and great looking very soft touch display amazing phoneREAD MORE
Good quality product,I just loved it.. Good camera.. Very good display.. Best mobile at this price in all the segments... I bought this mobile for rs 13500.  I felt awesome when I watched movie on8 with Dolby atmos sound system.. Strongly recommended to you all to buy this mobile...READ MORE
Must buy!,"On8 is a Superb mobile Perfarmance is also Good Camera Clarity is superb, Battery Backup is also Good Display Is superb, Finally Superb mobile by SamsungREAD MORE"
Terrific purchase,"good smartphone, nice battery, camera and display awesome. thanks to flipkart for nice and fair delivery.READ MORE"
Highly recommended,It is great phone . I like it very much . Same as samsung J8 . Full screen . It is a best choice for buying Samsung on8 online . A best phone under budget on flipkart. Perfect delivery.  on time . No issue.READ MORE
Highly recommended,excellent mobile flipkart service is super and fast but while Charing charger is getting to hotREAD MORE
Worth every penny,camera long shots super and night picture too good superb AwesomeREAD MORE
Worth every penny,its simply awesome ... Great DisplayGreat battery .. no heating issue ... even charging time also ... It have Dolby Atmos option ... great one ...it have smart view option for screen mirroring to tv ...very premium looking ....it is very great mobile in this budget range ...Its a Samsung Brand Mobile ....NOTE:Don't compare with Chinese Kachra Mobiles ...READ MORE
Just okay,"Battery drains faster as compared to other phone of this range ,  no turbo charging .... very slow perfomance ...facing issues while using maps....touch is not that smooth as well........camera is good , finger print sensor work good and fast ...big screen with good display...READ MORE"
Highly recommended,Nice mobile performance also good super amalod display is awesome value for moneyREAD MORE
Just wow!,Nice Phone. 1.Camera Quality Is Too Good.2. Sound are Superb .3. Display & Overall are So Nice Product. Thanks to Samsung & Thank U FlipkartREAD MORE
Awesome,best phone of Samsung i ever used. love this camera battery and phone speed. if you wnt to buy a phone in this price buy samsung on 8 best phone and its batter than real me 2 pro 100%. i love this phone big display love to play games in this phone and phone speed is very fast. buttery is so nice so u can play game 5_6 h continueREAD MORE
Mind-blowing purchase,"Best phone in this price segment by samsung and also kudos to Flipkart for the super fast delivery, it got delivered in 2 days.READ MORE"
Highly recommended,"Best deal, good phone with attractive features and camera clarity. Thanks to flipkart for quality and timely delivery.READ MORE"
Classy product,"prize is good ,look is good ,camera is good but magnification cause scatter imageREAD MORE"
Simply awesome,"Hi friends,First of all thanks to flipkart who manage to deliver the order item on time.It's a very nice mobile and with in this price specification are also too good.The camera quailty is too good.Slim set and very light weight so it's easy to carry.Finally I would like to suggest you to get it.....READ MORE"
Fabulous!,"As a Samsung fan ,I got an superb deal.budget smartphone with nice performance and premium to hold.camera is superb take clear and sharp picture with natural colour.Battery backup is also very very good.If u love Samsung and know about this I will suggest u to go for it...It's right time to buy in festive seasons on discounts of 2 k...READ MORE"
Perfect product!,Excellent product.  It is a fortnight and so far working fine with good results.  Needs surveillance of the handset at least for couple of months to really get to know about it's real functionality.READ MORE
Awesome,good product look wise and performance wise .but size is little big .overall goodREAD MORE
Terrific,mobile is so good and its so fast very reliable so smooth great finishing and looking so goodREAD MORE
Delightful,its a fantastic phone for me camera display n baterry are also good thanks to flipcart for very fast delivary whithin 2 days phone delivered in my pincode. again its a fabulous purchase n i loved itREAD MORE
Good choice,Best budget phone by samsung. Rear camera is excellent. front camera is satisfactory (could have been better). Display is excellent. Battery life is also good. Worth the money. I'm really happy with the product and flipkart too. It was delivered 1 day  before expected . Thankyou flipkart ??.READ MORE
Nice product,Excellent phone ..no issues...good camera super fast....but if u are looking at a compact lighter mobile then go for J 6....otherwise this is the best in this range if u you do not have weight and size issue......READ MORE
Fabulous!,"As the name and Brand , I have been Samsung User from very long time :) <3 and I love it a lot.. This one is too good and awesome with amazing display camera quality and user experience :)READ MORE"
Could be way better,"Canada clarity is not good , online selling product not good plase dont purchase samsung galaxy on8 its humble request for alla custamersREAD MORE"
Classy product,"superb  camera quality  is A1,bettery is only for hardly 18 hour, performance is brand of low chipset but good performance, design are osm built quality pretty beautiful.....but one thing light sensor  are disturbs most and most...READ MORE"
Wonderful,"Overall it's a nice phone. I got it at Rs.15k from Flipkart.Running android 8.0 out of box. Usable Ram is 2GB and usable storage around 50GB. Has to much Samsung bloatware.Didn't like the camera that much. The camera doesn't focus nicely. The Samsung A5 2016 i had previously had better focus than this one.Moreover, the charging cable is only 0.5m in length and charger output current is 1.55amp. No fast adaptive charging.READ MORE"
Perfect product!,very nice phone with awesome camera and  display quality (in this range displays). Battery backup is good and charging is faster. Speed is awesome. u can get good pics via the rear camera even in low light. little disappointed with the front cam in low light. both cameras are perfect in daylight. good for gaming without battery saver.READ MORE
Nice,samsung on 8 is a nic fon at this range with affordable characteristics. battery back up is gud it last for one and a half days after full charge when normal use. Camera quality is good and not high quality. Display Amoled is nice from samsung.READ MORE
Nice product,sb kumar 4to and I have been in the last years of America Merrill the last years of experience in a year and dhawan are not going to be a good day and dhawan are not going to be a good day and dhawan are not going to be in today and dhawan are not going to be a good day and dhawan are not going to be a good day and dhawan are not going to be a good day and dhawan are not going to be a good day and dhawan are not going to be a good day and dhawan are not going to be a good day and dhawan are n...READ MORE
Fabulous!,value for money  best camera best batter backup   no lag    my rati g  10/7      on8 camera more than  mi note 5 pro and quality is good  no heating   thank u flipkart and samsung.7READ MORE
Good choice,"Nice Cell phone.so far Battery back up is good after using 4 days...(Moto M I was using,battery back up was not good). May be after a month I can provide proper update on the product. :)READ MORE"
Great product,On 8 is good and available at reasonable price. you will definitely feel the BRAND design... infinity display adds better look...READ MORE
Classy product,I specialty thankful flipkart because they give me nice mobile gud time. it's beautiful product i love it camra is very good and big screen.READ MORE
Mind-blowing purchase,"nice smartphone,  nice display,  nice design,  nice camera, a nice budget phone for allREAD MORE"
Really Nice,Camera 8/10Proffomissions 8/10Display 8/10Battery 9/ 10Ram 8/10Chipset 8/ 10Overall Good phone I use the day great phone super budget better than samsung j8 camera is really amsome great work camera lover i recommendedREAD MORE
Value-for-money,"needed improvement in battery,should be 4000+ may,display full hd will be better ,if these two things better than no body will buy Chinese mobile.but overall great mobile.READ MORE"
Worth every penny,best mobile in this range it feel like brand in hand look is awesome specialy blue and mobile is sleep from my hand and fall at ground nothing is happen to this phone thank you SAMSUNG thanks flipkart....READ MORE
Classy product,Camera awesome portrait mode and other awesome faster phone good storage great soundREAD MORE
Excellent,Excellent Product by Samsung...and good and fast delivery by Flipkart....Cameras work very good in sunlight...Low light photography is not so bad...Touch sensitivity is awesome.READ MORE
Best in the market!,got for 13491/- in big billions sale.. so at this price not a value fr money...but trust of samsung...amoled dsply4/64gbn good cameras are what the plus point.. so overall if u want a samsung phn only than its a good buy.READ MORE
Great product,One week after purchased. 1. Good battery back up.2. Good camera specially back camera.2. Front camera is ok. overall  good buy in 13k in big billions  dayREAD MORE
Super!,"Best budget smart phone from a reputed brand like Samsung.. Samsung Galaxy On8, Got it for just 14990/-.. Fully satisfied.. Nice phone.. wonderful camera.. Thank u Flipkart for the offer...READ MORE"
Really Nice,samsung galaxy on8 is the excellent mobile I really love it and I recommend that the mobile will be valuable money ....READ MORE
Fabulous!,"You will get phones with higher specs for this price range but remember that other brands won't provide you with the security that Samsung provides and the camera is very good in this segment. Daylight photos are very well balanced and night photos seem to struggle a bit but is good under sufficient lighting. You can mainly use for media consumption, browsing the internet and clicking photos. And do remember to clear the cache memory of the apps from time to time(especially Facebook and Insta...READ MORE"
Fair,not good look like other notch device. Overall okay. But competition with others like Nokia 6.1 plus it is average.READ MORE
Fair,it's a good phone at this price range .if you are looking for a big phone its a nice selection. same time it doesn't have led notification and automatic screen brightness settings ...overall it's a fine one ...loved itREAD MORE
Terrific,"modal is so good for handling, it gift for my daddy ,and and my daddy so happy now .....so thank you ??READ MORE"
Value-for-money,"After using the device for 3 weeks, I can say the device is very very good in terms of Camera and performance. Battery is average. I am not satisfied with the display. There is no LED notification light. Overall I will say this is a good device but not the best. If you want to get a long lasting device then you can buy it. Hardware and build quality is very good.READ MORE"
Perfect product!,samsung fans can buy it. Its worth it  to buy it. Delivery was good. Delivered 2 days earlier then the delivery date. And the mobile was in good condition too and no scraches . The performance of the phone is preety awesome if you know  how to use it. you can see the  features in youtube. I am satisfied by flipkart as well as the phone.READ MORE
Nice product,the product is amazing if u go by the prize but the gaming exp. is not up to the mark.... well I coudnt turn on hd mode for pubg...apart from that it's awesomeREAD MORE
Brilliant,Phone is good from all aspects.  This is the 2nd On 8 phone I have bought. I for me other for my sister. camera quality awesome. battery backup I do not understand as It gives 1day back up I do everything. for games its best as for display and sensor. will recommend all to go for it.READ MORE
Not good,"Its screen quality is not good,hd or mp4 whatever you are watching will look same not so good display. Its video recording is not good. I really got disappointed by its display. Battery back up is good. The worst thing is its flash light. Its led light is very low. Even anyone can get more clear and good flash in MI5A which is just in 6 thousands only. So in night you can't take good pictures through its flash,both back and rear flash  lights are worst.  And which annoyed me lot was its deliv...READ MORE"
Really Nice,"good camera,good performance,good ram management,good battery,good build quality  cons- very slow face unlock,slow fingre print sensor,no full hd display in 17000,missing many sensors.  You will get better phone in this price range like redmi note 5 pro,but if you want samsungs reliblity and good quality go for this product.READ MORE"
Good choice,mass look   Semma design camera superb I loved this Sam on8very very very marvles  superb wonderREAD MORE
Totally worth a buy,More than enough for most users.. Excellent Camera. No lags... Battery Backup is mediocre... Good enough for normal users..READ MORE
Simply awesome,Very Nice Phone under this price. Camera quality is good. Battery backup is superb. Speaker and call clarity is superb. Will recommend best buy.READ MORE
Worth every penny,It is an awesome phone. front canera is ok ok. display is very good battery packup is also good. overall a good product to buy.READ MORE
Worst Camera from Samsung. Bulky Phone. Disappointed,I ordered this phone a week ago. And from a very first day i dont like the phone .Below are the some cons are the phone . For me there is no Pros for this phone because you can get much better phone in this range . Biggest mistake that i choose Samsung.Cons:Worst CameraBulky Phone No Full HD DisplayNot at all a slip phone looks like Samsung back to the era of 2010Nothing NewExpensive Phone in this price rangeHighly Recommend -Please don't waste your money in this phone. Don't go for...READ MORE
Just wow!,Best of best camera phone i am happy all of this performance and a good decision purchasing this phone  and thanks to flipkart his best service to provide this phone to onlineREAD MORE
Brilliant,"after using one week I have giving a review there is a such a nice phone in this price segment .No heat at all nice battery backup,out standing camera,over all good phoneREAD MORE"
Best in the market!,"The Samsung galaxy on8 mobile phone is very nice phone, the camera quality is very nice and display quality is awesome and the process is non stop the look of samsung galaxy on8 is very nice.READ MORE"
Pretty good,"Great Product, I have using this phone from last 15 days.  Good battery,  good display, excellent camera at this price. Some basic sensors are missing. Overall 4 stars out of 5.READ MORE"
Nice product,Camera is great and battery and phone performance is very good but Some important sensors are missing in this phone likely automatically screen brightness. And for face unlock first we have to press the power button then it reads faceREAD MORE
Classy product,It was a good mobile and I liked it very much worth for prize ????READ MORE
